campaign_name,campaign_description,timezone_shared,is_active,start_call,call_created_at,call_updated_at
"Q4 Sales Campaign","Outbound sales campaign for Q4 2024 targeting enterprise clients",America/New_York,true,"https://api.example.com/start-calls","2024-01-15T09:00","2024-01-20T14:30"
"Lead Generation Drive","Generate leads for our new product launch in the healthcare sector",America/Chicago,false,"https://api.example.com/start-calls","2024-01-16T10:15","2024-01-21T16:45"
"Customer Retention Program","Follow-up campaign for existing customers to increase retention",America/Los_Angeles,true,"https://api.example.com/start-calls","2024-01-17T11:30","2024-01-22T09:20"
"Market Research Survey","Conduct market research through phone surveys for product development",America/Denver,false,"https://api.example.com/start-calls","2024-01-18T08:45","2024-01-23T13:15"
"Partnership Outreach","Reach out to potential business partners for strategic alliances",America/Toronto,true,"https://api.example.com/start-calls","2024-01-19T12:00","2024-01-24T15:30"
"Event Follow-up","Follow up with attendees from our recent industry conference",America/Winnipeg,false,"https://api.example.com/start-calls","2024-01-20T14:20","2024-01-25T11:45"
"Product Demo Scheduling","Schedule product demonstrations for interested prospects",America/Edmonton,true,"https://api.example.com/start-calls","2024-01-21T16:10","2024-01-26T10:15"
"Feedback Collection","Collect customer feedback on our services and products",America/Vancouver,false,"https://api.example.com/start-calls","2024-01-22T09:30","2024-01-27T14:20"
"Referral Program","Implement referral program to acquire new customers",Pacific/Honolulu,true,"https://api.example.com/start-calls","2024-01-23T13:45","2024-01-28T12:00"
"Competitive Analysis","Research competitive landscape through customer interviews",America/Anchorage,false,"https://api.example.com/start-calls","2024-01-24T15:15","2024-01-29T16:30"
